City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Hove,GB,53.22,broken clouds,50.8309,-0.1672,"Holiday Inn Brighton - Seafront, an IHG Hotel"
242,Souillac,MU,76.75,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
243,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
244,Matara,LK,79.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
245,Rio Gallegos,AR,46.45,moderate rain,-51.6226,-69.2181,Hotel Santa Cruz
246,Aromashevo,RU,32.27,broken clouds,56.8602,68.6375,Gostinitsa
247,Caidian,CN,55.47,overcast clouds,30.5833,114.0333,City Comfort Inn Wuhan Caidian Square
248,Geraldton,AU,57.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
249,Salaga,GH,86.27,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
250,Gornopravdinsk,RU,20.43,scattered clouds,60.05,69.9,Hostel
252,Balsas,BR,76.05,overcast clouds,-7.5325,-46.0356,Novo Hotel
254,Nome,US,31.1,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
255,Tupelo,US,63.9,light rain,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
256,Paralimni,CY,72.48,moderate rain,35.0375,33.9833,Amore Hotel Apartments
257,Cherskiy,RU,13.73,overcast clouds,68.75,161.3,Gostinitsa
258,Pakxan,LA,73.49,broken clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
259,Cedar City,US,68.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
261,Banepa,NP,57.52,mist,27.6298,85.5214,Dhulikhel Lodge Resort
262,Angoche,MZ,79.39,broken clouds,-16.2325,39.9086,Guest House HESADA
263,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
264,Conakry,GN,78.03,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
265,Cockburn Town,TC,77.99,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
266,Sao Miguel Do Guama,BR,74.66,heavy intensity rain,-1.6267,-47.4833,Hotel Rio Guamá
267,Santa Maria,BR,58.57,scattered clouds,-29.6842,-53.8069,Hotel Morotin
268,Ancud,CL,55.22,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
269,Grindavik,IS,39.67,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
270,Mamallapuram,IN,85.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
271,Nevelsk,RU,39.24,broken clouds,46.6733,141.8633,Gostinitsa Viktoriya
272,Monki,PL,34.68,broken clouds,53.405,22.7979,Zajazd Mońki
273,Poronaysk,RU,32.58,broken clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
274,Talcahuano,CL,54.07,broken clouds,-36.7167,-73.1167,departamento comodo
275,Kruisfontein,ZA,59.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
276,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
277,Loandjili,CG,78.04,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
278,Westport,US,46.38,clear sky,41.1415,-73.3579,The Inn at Longshore
279,Rye,US,47.17,broken clouds,40.9807,-73.6837,Courtyard by Marriott Rye
280,Beyneu,KZ,59.49,clear sky,45.3167,55.2,NUR
281,Shingu,JP,62.47,overcast clouds,33.7333,135.9833,Shingu UI Hotel
282,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
283,Kavieng,PG,85.37,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
284,Touros,BR,80.29,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
285,Puerto Carreno,CO,78.51,broken clouds,6.189,-67.4859,Casa Hotel Victoria
286,Halifax,CA,45.48,broken clouds,44.6453,-63.5724,Hotel Halifax
287,Reconquista,AR,60.75,clear sky,-29.15,-59.65,Grand Hotel
288,Dali,CN,56.68,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
289,Valparaiso,CL,56.48,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
290,Yulara,AU,72.7,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
291,Tual,ID,84.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
292,Turukhansk,RU,2.53,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
293,Inhambane,MZ,72.39,light rain,-23.865,35.3833,Oceano
294,Saint-Joseph,RE,72.21,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
295,Labytnangi,RU,15.76,overcast clouds,66.6572,66.4183,Priuralye Hotel
297,Soltepec,MX,77.04,few clouds,19.1167,-97.7,"Cabaña Soltepec ""Angel de Maria"""
299,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
300,Trincomalee,LK,79.52,scattered clouds,8.5711,81.2335,Welcombe Hotel
302,La Asuncion,VE,78.15,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
303,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
304,Severo-Kurilsk,RU,32.11,overcast clouds,50.6789,156.125,Kak Doma
305,Manokwari,ID,82.9,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
306,Pevek,RU,9.52,scattered clouds,69.7008,170.3133,Severnoye Zoloto
308,Mocuba,MZ,71.02,few clouds,-16.8392,36.9856,Phama Lodge
309,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
310,Visnes,NO,44.82,clear sky,59.3556,5.2242,Park Inn Haugesund Airport
311,Palatka,US,70.99,overcast clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
312,Kaitangata,NZ,57.06,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
313,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
314,Pedernales,DO,79.83,overcast clouds,18.0384,-71.744,Hotel Costa Marina
315,Xacmaz,AZ,50.02,clear sky,41.4635,48.806,məgəl restoranı
316,Redlands,US,87.31,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
317,Nobres,BR,73.33,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
318,Tono,JP,56.37,scattered clouds,39.3167,141.5333,Aeria Tono
319,Kashary,RU,54.61,overcast clouds,49.04,41.0056,Гостиница N 1
320,Bardiyah,LY,59.83,clear sky,31.7561,25.0865,بورتو بردية
321,Stornoway,GB,48.16,broken clouds,58.2093,-6.3865,Caladh Inn
322,Mae Hong Son,TH,78.04,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
323,Cururupu,BR,75.13,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
324,Arraial Do Cabo,BR,73.47,clear sky,-22.9661,-42.0278,Pousada Porto Praia
325,Nanakuli,US,82.35,broken clouds,21.3906,-158.1547,Camp Pālehua
326,Tura,IN,69.04,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
327,Mackenzie,CA,40.42,overcast clouds,55.2999,-123.1698,Hilton Shop
328,Najran,SA,72.5,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
329,Astoria,US,55.71,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
331,Conceicao Do Araguaia,BR,75.15,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
334,Ranau,MY,73.49,broken clouds,5.9538,116.6641,The Second Room
335,Tuatapere,NZ,59.31,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
336,Flinders,AU,73.26,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
337,Mayumba,GA,77.32,overcast clouds,-3.432,10.6554,LIKWALE LODGE
338,Kapit,MY,76.41,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
340,Hit,IQ,67.84,broken clouds,33.6416,42.8251,بيت ابو رباح
341,Barybino,RU,33.84,clear sky,55.2677,37.8933,Кузьминсоке
342,Syracuse,IT,54.77,moderate rain,37.0881,15.2792,Hotel Posta
343,Hambantota,LK,79.57,overcast clouds,6.1241,81.1185,Bungalow 63
344,Roma,US,39.63,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
